datetime,Open,High,Low,Close,Volume
2024-06-13 13:52:00,67752.67,67760.27,67674.36,67686.97,0.72530107
2024-06-13 13:53:00,67687.62,67755.4,67687.62,67723.31,1.09069135
2024-06-13 13:54:00,67745.44,67745.44,67703.07,67704.68,0.39208697
2024-06-13 13:55:00,67706.02,67706.02,67649.16,67655.13,0.18474767
2024-06-13 13:56:00,67650.66,67650.66,67582.26,67616.14,0.27389398
2024-06-13 13:57:00,67577.63,67584.11,67572.32,67584.11,0.03008559
2024-06-13 13:58:00,67562.83,67622.37,67530.22,67571.87,1.08714897
2024-06-13 13:59:00,67606.3,67606.3,67576.65,67580.01,0.08196907
2024-06-13 14:00:00,67597.05,67636.23,67545.86,67546.25,0.92648766
2024-06-13 14:01:00,67543.33,67586.84,67543.2,67586.84,0.20939111
2024-06-13 14:02:00,67620.49,67620.5,67472.04,67489.02,2.28801239
2024-06-13 14:03:00,67475.01,67533.65,67475.01,67529.99,0.1356726
2024-06-13 14:04:00,67530.72,67530.72,67445.23,67492.22,1.78716927
2024-06-13 14:05:00,67511.39,67551.94,67511.39,67551.94,0.06263271
2024-06-13 14:06:00,67563.48,67645.92,67544.44,67622.45,0.12416362
2024-06-13 14:07:00,67645.92,67647.67,67617.73,67626.03,0.19516874
2024-06-13 14:08:00,67604.9,67639.46,67604.9,67638.1,0.05773779
2024-06-13 14:09:00,67657.52,67681.15,67657.52,67667.76,0.21257861
2024-06-13 14:10:00,67650.85,67650.85,67555.06,67555.06,0.15398419
2024-06-13 14:11:00,67572.08,67591.34,67477.57,67498.49,0.77320485
2024-06-13 14:12:00,67441.07,67441.07,67364.38,67412.73,0.76140577
2024-06-13 14:13:00,67420.36,67421.73,67406.76,67406.76,0.02605893
2024-06-13 14:14:00,67412.48,67457.25,67402.25,67444.18,0.14482546
2024-06-13 14:15:00,67410.96,67489.63,67403.25,67461.36,0.93007813
2024-06-13 14:16:00,67458.5,67483.98,67458.5,67474.42,0.51104472
2024-06-13 14:17:00,67462.06,67537.07,67462.06,67534.27,0.12197542
